,story_id,text_final
0,025a395de816f89292aaf,"['complete', 'guide', 'youtube', 'marketing', 'hatch', 'plan', 'begin', 'market', 'youtube', 'year', 'need', 'savvy', 'youtube', 'million', 'content', 'creator', 'churn', 'video', 'regularly', 'content', 'stand']"
1,025a395de816f89292aaf,"['ecommerce', 'trend', 'insight', 'plan', 'digital', 'marketing', 'strategy', 'digital', 'ad', 'cost', 'increase', 'influencers', 'charge', 'reach', 'few', 'ecommerce', 'competition', 'rise']"
2,025a395de816f89292aaf,"['must', 'effective', 'social', 'medium', 'marketing', 'use', 'automation', 'smart', 'automation', 'spammy', 'ineffective', 'automation', 'come', 'social', 'medium', 'spread', 'thin', 'nearly', 'impossible', 'almost', 'always', 'ineffective', 'active', 'every', 'single', 'social', 'medium', 'platform']"
3,025a395de816f89292aaf,"['digital', 'marketing', 'trend', 'innovation', 'accord', 'cisco', 'internet', 'traffic', 'video', 'wait', 'till', 'start', 'take', 'advantage', 'trend', 'facebook', 'earnings', 'call', 'ceo', 'mark', 'zuckerberg', 'say', 'ci', 'see', 'video', 'megatrend', 'go', 'keep', 'put', 'video', 'first', 'across', 'family', 'apps']"
4,025a395de816f89292aaf,"['digital', 'marketing', 'trend', 'research', 'show', 'internet', 'catch', 'television', 'term', 'hour', 'watch', 'accord', 'study', 'people', 'spend', 'hour', 'day', 'online', 'hour', 'day', 'watch', 'tube', 'internet', 'catch', 'television', 'live', 'video', 'keep', 'grow', 'video', 'video', 'ad', 'keep', 'grow']"
5,025a395de816f89292aaf,"['prepare', 'next', 'wave', 'social', 'medium', 'market', 'democratization', 'live', 'broadcasting', 'gartner', 'expect', 'trend', 'continue', 'drive', 'innovation', 'keep', 'user', 'engage', 'create', 'new', 'advertising', 'product', 'social', 'network', 'join', 'streaming', 'content', 'network', 'begin', 'compete', 'broadcast', 'cable', 'stream', 'network', 'goto', 'destination']"
6,025a395de816f89292aaf,"['social', 'video', 'trend', 'consumer', 'marketer', 'insight', 'key', 'finding', 'include', 'marketer', 'place', 'ad', 'spend', 'video', 'social', 'business', 'land', 'new', 'customer', 'due', 'social', 'medium', 'video', 'youtube', 'number', 'one', 'purchasedriving', 'platform', 'social', 'medium']"
7,025a395de816f89292aaf,"['video', 'marketing', 'statistic', 'video', 'stay', 'even', 'mark', 'zuckerberg', 'believe', 'video', 'critical', 'part', 'future', 'sheer', 'volume', 'video', 'content', 'online', 'grow', 'exponentially', 'stats', 'business', 'use', 'video', 'marketing', 'tool', 'last', 'year', 'hubspot', 'people', 'would', 'rather', 'watch', 'online', 'video', 'television', 'google', 'online', 'video', 'make', 'consumer', 'internet', 'traffic', 'cisco']"
8,025a395de816f89292aaf,"['seven', 'technology', 'marketing', 'prediction', 'age', 'badly', 'see', 'transformation', 'facebook', 'hot', 'new', 'social', 'network', 'almost', 'unstoppable', 'juggernaut', 'many', 'decade', 'define', 'advertising', 'marketing', 'trend', 'clickbait', 'video', 'revolution', 'livestreaming', 'privacy', 'fear', 'play', 'shape', 'rise', 'continue', 'commentator', 'repeatedly', 'predict', 'hop', 'whatever', 'hot', 'new', 'social', 'network', 'currently', 'trend', 'death', 'facebook']"
9,025a395de816f89292aaf,"['content', 'marketing', 'trend', 'need', 'know', 'video', 'livestreaming', 'become', 'huge', 'recently', 'thanks', 'popular', 'platform', 'like', 'youtube', 'tiktok', 'twitch', 'go', 'get', 'big', 'fact', 'accord', 'hubspot', 'percent', 'consumer', 'want', 'see', 'video', 'content', 'brand', 'business', 'support', 'want', 'content', 'marketing', 'connect', 'engage', 'audience', 'need', 'start', 'incorporate', 'video']"
